,Name,Wins,Losses,Draws,Stance,Reach (inches),Weight (pounds),Height (inches),Significant Strikes Landed per Minute,Significant Striking Accuracy,Significant Strikes Absorbed per Minute,Significant Strike Defence (the percentage of opponents strikes that did not land),Average Takedowns Landed per 15 minutes,Takedown Accuracy,Takedown Defense (the percentage of opponents TD attempts that did not land),Average Submissions Attempted per 15 minutes
1141,Quang Le,8,2,0,Orthodox,70.0,135.0,66.0,3.02,0.35,5.52,0.45,1.7,0.23,1.0,0.0
1142,Carlos Leal,21,6,0,Orthodox,74.0,170.0,71.0,7.13,0.43,7.27,0.5,1.0,0.25,0.89,0.0
1143,Jordan Leavitt,11,3,0,Southpaw,71.0,155.0,69.0,2.55,0.61,1.84,0.57,2.19,0.25,0.3,1.1
1144,Chris Leben,22,11,0,Southpaw,73.0,185.0,71.0,2.87,0.42,2.87,0.52,1.14,0.41,0.53,0.8
1145,Mickael Lebout,16,7,1,Orthodox,73.0,155.0,71.0,2.6,0.34,2.98,0.54,0.0,0.0,0.6,0.0
1146,Justin Ledet,9,4,0,Orthodox,80.0,205.0,76.0,3.35,0.39,4.82,0.49,0.23,0.5,0.42,0.2
1147,Vaughan Lee,14,13,1,Orthodox,66.0,125.0,66.0,3.47,0.47,2.07,0.7,0.81,0.33,0.72,1.0
1148,Kevin Lee,18,8,0,Orthodox,77.0,170.0,69.0,3.88,0.42,3.6,0.5,3.18,0.43,0.75,0.8
1149,Andrea Lee,13,10,0,Orthodox,69.0,125.0,66.0,4.71,0.46,3.83,0.62,1.7,0.55,0.54,0.6
1150,JeongYeong Lee,11,2,0,Orthodox,73.0,145.0,70.0,2.84,0.52,2.81,0.5,0.93,0.66,0.76,0.5
1151,JungHyun Lee,8,1,0,Orthodox,65.0,125.0,65.0,4.27,0.39,6.2,0.38,0.0,0.0,0.64,0.0
1152,ChangHo Lee,10,1,0,Orthodox,69.0,135.0,68.0,4.9,0.7,2.65,0.37,3.24,0.3,0.38,0.0
1153,Cheyden Leialoha,6,0,0,Orthodox,73.0,135.0,68.0,1.87,0.28,3.2,0.53,2.0,0.33,0.71,0.0
1154,Claudia Leite,8,3,0,Orthodox,64.0,135.0,63.0,1.27,0.47,1.73,0.57,1.0,0.25,0.0,1.0
1155,Thales Leites,28,9,0,Orthodox,78.0,185.0,73.0,2.13,0.4,2.99,0.52,2.1,0.27,0.3,1.1
1156,Amanda Lemos,14,4,1,Southpaw,65.0,115.0,64.0,3.16,0.54,3.87,0.44,0.9,0.63,0.61,0.8
1157,Giacomo Lemos,6,0,0,Orthodox,75.0,247.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1158,Jesse Lennox,14,4,0,Orthodox,72.0,170.0,69.0,2.69,0.32,3.2,0.64,1.22,0.66,0.63,0.3
1159,Nik Lentz,30,12,2,Orthodox,68.0,145.0,68.0,3.44,0.47,3.25,0.5,3.3,0.32,0.43,1.2
1160,Victoria Leonardo,9,7,0,Orthodox,64.0,125.0,65.0,3.22,0.38,4.81,0.47,1.57,0.27,0.71,0.0
1161,Brock Lesnar,5,3,0,Orthodox,81.0,265.0,75.0,3.53,0.72,2.11,0.5,3.9,0.55,0.6,0.5
1162,Valerie Letourneau,8,6,0,Orthodox,68.0,115.0,67.0,4.51,0.37,5.4,0.58,0.77,0.45,0.66,0.3
1163,Leah Letson,5,3,0,Southpaw,71.0,145.0,67.0,3.06,0.41,3.84,0.52,0.51,0.5,0.76,0.0
1164,Marcus LeVesseur,22,7,0,Southpaw,70.0,155.0,69.0,2.55,0.64,3.7,0.37,3.89,0.36,0.83,0.6
1165,Natan Levy,8,2,0,Southpaw,71.0,155.0,69.0,3.7,0.52,3.19,0.58,5.03,0.58,0.41,0.5
1166,Derrick Lewis,28,12,0,Orthodox,79.0,260.0,75.0,2.48,0.5,2.48,0.4,0.57,0.26,0.52,0.0
1167,Bevon Lewis,7,3,0,Orthodox,79.0,185.0,75.0,3.73,0.43,2.67,0.54,0.0,0.0,0.66,0.0
1168,Brandon Lewis,6,2,0,Orthodox,70.0,135.0,64.0,2.17,0.29,3.63,0.53,1.0,0.15,0.2,0.0
1169,Malik Lewis,6,2,0,Orthodox,75.0,155.0,72.0,4.16,0.45,5.66,0.4,3.98,0.4,0.5,0.0
1170,Li Jingliang,19,9,0,Orthodox,71.0,170.0,72.0,4.46,0.42,3.95,0.56,1.19,0.41,0.6,0.0
1171,Li Yunfeng,9,5,0,Orthodox,68.0,135.0,68.0,0.53,0.29,2.55,0.35,0.0,0.0,0.5,0.0
1172,Liang Na,19,8,0,Orthodox,67.0,125.0,65.0,1.99,0.42,3.95,0.36,3.6,0.58,0.25,0.5
1173,Jess Liaudin,20,11,0,Orthodox,72.0,170.0,69.0,2.46,0.51,2.76,0.41,3.28,0.53,0.3,1.6
1174,Chuck Liddell,21,8,0,Orthodox,76.0,205.0,74.0,2.97,0.35,2.71,0.56,0.44,0.75,0.81,0.0
1175,Rodrigo Lidio,12,3,0,Orthodox,73.0,155.0,71.0,0.97,0.5,0.0,1.0,0.0,0.0,0.5,0.0
1176,Hyun Gyu Lim,13,7,1,Orthodox,77.0,170.0,75.0,4.45,0.41,5.07,0.51,0.23,1.0,0.73,0.2
1177,Juliana Lima,9,5,0,Orthodox,65.0,115.0,65.0,1.94,0.44,2.11,0.55,1.72,0.31,0.7,0.0
1178,Dhiego Lima,17,9,0,Orthodox,75.0,170.0,74.0,3.12,0.39,3.88,0.58,1.26,0.34,0.73,0.6
1179,Andre Lima,10,0,0,Orthodox,67.0,125.0,67.0,3.03,0.55,2.48,0.57,1.13,0.66,0.73,1.1
1180,Felipe Lima,14,1,0,Orthodox,68.0,145.0,66.0,3.29,0.52,2.67,0.64,1.33,0.5,0.8,1.3
1181,Emiliano Linares,8,2,0,Orthodox,72.0,145.0,68.0,1.17,0.28,3.59,0.26,0.0,0.0,0.33,0.0
1182,Matt Lindland,22,9,0,Southpaw,74.0,185.0,72.0,2.62,0.5,1.56,0.52,3.01,0.48,0.6,1.3
1183,John Lineker,31,9,0,Orthodox,67.0,135.0,63.0,5.36,0.4,4.27,0.56,0.56,0.58,0.67,0.6
1184,Austin Lingo,9,3,0,Orthodox,70.0,145.0,70.0,3.86,0.37,4.86,0.57,0.43,0.66,0.75,0.0
1185,Philipe Lins,18,5,0,Orthodox,78.0,205.0,74.0,3.8,0.49,3.59,0.46,1.65,0.33,1.0,0.0
1186,Tainara Lisboa,7,2,0,Orthodox,67.0,135.0,67.0,2.05,0.5,1.4,0.54,2.05,0.4,0.7,0.5
1187,Dean Lister,13,7,0,Orthodox,75.0,185.0,73.0,1.26,0.35,1.89,0.61,1.58,0.15,0.5,1.1
1188,James Llontop,14,5,0,Orthodox,73.0,155.0,72.0,5.57,0.41,4.12,0.57,0.0,0.0,0.54,0.0
1189,Artem Lobov,13,15,1,Southpaw,65.0,145.0,69.0,3.52,0.41,4.82,0.5,0.39,0.25,0.52,0.0
1190,Dylan Lockard,6,2,0,Orthodox,72.0,145.0,69.0,1.31,0.53,3.31,0.52,2.31,0.4,0.28,1.2
1191,Ryan Loder,8,1,0,Southpaw,76.0,185.0,74.0,6.16,0.8,0.15,0.5,2.2,0.33,1.0,2.2
1192,Christian Lohsen,4,2,0,Southpaw,77.0,155.0,74.0,5.27,0.49,6.93,0.44,0.0,0.0,0.0,2.0
1193,David Loiseau,23,11,0,Orthodox,76.0,185.0,72.0,1.59,0.44,3.64,0.43,0.43,0.42,0.36,0.1
1194,Hector Lombard,34,10,1,Southpaw,71.0,185.0,69.0,3.02,0.46,3.35,0.53,1.69,0.48,0.77,0.5
1195,Michael Lombardo,11,2,0,Orthodox,72.0,170.0,72.0,1.47,0.62,2.63,0.31,2.5,0.21,0.6,0.0
1196,Loma Lookboonmee,9,3,0,Orthodox,61.0,115.0,61.0,4.1,0.57,2.48,0.53,1.9,0.5,0.72,0.1
1197,Ange Loosa,10,4,0,Orthodox,74.0,170.0,70.0,5.6,0.44,6.68,0.53,2.41,0.38,0.83,0.2
1198,Diego Lopes,26,6,0,Orthodox,72.0,145.0,71.0,4.2,0.53,4.11,0.5,0.5,0.4,0.52,2.8
1199,Bruno Lopes,13,1,0,Orthodox,74.0,205.0,74.0,3.69,0.41,4.07,0.63,0.0,0.0,1.0,0.0
1200,Arthur Lopes,6,2,0,Southpaw,77.0,234.0,74.0,9.74,0.41,14.87,0.45,0.0,0.0,0.0,0.0
1201,Matthew Lopez,10,4,0,Southpaw,69.0,135.0,67.0,3.13,0.5,3.73,0.55,3.32,0.6,0.71,1.3
1202,Benito Lopez,10,2,0,Switch,73.0,135.0,70.0,4.39,0.45,5.18,0.56,0.0,0.0,0.73,0.3
1203,Gustavo Lopez,12,6,1,Orthodox,67.0,135.0,65.0,2.48,0.4,3.87,0.57,1.74,0.41,0.31,0.7
1204,Brendan Loughnane,17,3,0,Switch,70.0,145.0,70.0,6.23,0.63,6.7,0.53,1.5,0.3,0.92,0.0
1205,Caolan Loughran,9,2,0,Orthodox,68.0,135.0,66.0,5.64,0.43,5.62,0.54,2.0,0.26,1.0,0.0
1206,Joe Lowry,9,2,0,Orthodox,73.0,155.0,71.0,3.97,0.34,4.25,0.63,0.0,0.0,0.0,0.0
1207,Lu Kai,8,5,0,Orthodox,69.0,145.0,69.0,3.76,0.43,5.51,0.55,2.62,0.5,1.0,2.6
1208,Stephanie Luciano,6,1,1,Orthodox,65.0,115.0,66.0,5.3,0.48,2.53,0.68,0.5,1.0,0.85,0.0
1209,Iasmin Lucindo,17,5,0,Orthodox,66.0,115.0,63.0,3.52,0.45,2.91,0.66,2.4,0.57,0.66,0.2
1210,Duane Ludwig,21,14,0,Orthodox,70.0,170.0,70.0,4.62,0.44,3.05,0.57,0.43,0.25,0.59,0.1
1211,Paula Luna,5,3,0,Orthodox,62.0,125.0,62.0,0.65,0.5,6.2,0.17,0.0,0.0,0.0,0.0
1212,Dalcha Lungiambula,11,6,0,Orthodox,76.0,185.0,68.0,3.07,0.45,3.93,0.52,2.14,0.45,0.77,0.0
1213,Vicente Luque,23,10,1,Orthodox,75.0,170.0,71.0,5.05,0.51,5.22,0.52,0.99,0.53,0.62,0.7
1214,Travis Lutter,10,6,0,Orthodox,75.0,185.0,71.0,0.41,0.32,2.42,0.42,1.95,0.24,0.3,0.7
1215,Joilton Lutterbach,38,9,0,Orthodox,75.0,185.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1216,Tucker Lutz,12,4,0,Orthodox,72.0,145.0,68.0,3.74,0.46,3.25,0.44,1.99,0.44,0.69,0.2
1217,Lv Zhenhong,16,6,0,Switch,67.0,145.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1218,Chris Lytle,31,18,5,Orthodox,68.0,170.0,71.0,3.76,0.45,3.03,0.58,0.7,0.55,0.55,2.4
1219,Dong Hyun Ma,16,11,3,Orthodox,70.0,155.0,71.0,2.84,0.41,4.1,0.54,1.27,0.53,0.33,0.0
1220,Pawan Maan,7,3,1,Orthodox,70.0,155.0,67.0,0.89,0.44,2.98,0.43,0.0,0.0,0.0,0.0
1221,William Macario,9,3,0,Orthodox,75.0,170.0,71.0,4.92,0.54,3.96,0.65,1.85,0.45,0.78,0.0
1222,Jason MacDonald,25,16,0,Orthodox,80.0,185.0,75.0,1.55,0.52,2.7,0.46,1.43,0.16,0.35,2.0
1223,Rob MacDonald,5,4,0,Orthodox,78.0,205.0,75.0,1.8,0.5,2.04,0.46,7.19,0.8,0.8,5.4
1224,Rory MacDonald,19,4,0,Orthodox,76.0,170.0,72.0,3.75,0.42,2.8,0.62,1.77,0.47,0.88,0.4
1225,Ryan MacDonald,10,2,0,Switch,71.0,135.0,71.0,2.28,0.29,6.49,0.45,0.0,0.0,0.0,0.0
1226,Valesca Machado,8,3,0,Orthodox,63.0,115.0,64.0,2.4,0.32,2.87,0.64,0.0,0.0,0.76,0.0
1227,Caio Machado,8,4,1,Southpaw,78.0,250.0,76.0,5.82,0.53,2.87,0.63,0.0,0.0,0.82,0.0
1228,Ian Machado Garry,15,1,0,Orthodox,74.0,170.0,75.0,4.72,0.54,2.82,0.51,0.74,0.54,0.73,0.5
1229,Lyoto Machida,24,8,0,Southpaw,74.0,185.0,73.0,2.59,0.53,1.57,0.61,1.21,0.65,0.75,0.4
1230,Pauline Macias,4,1,0,Southpaw,64.0,115.0,64.0,0.8,0.29,4.6,0.42,2.0,0.18,0.0,0.0
1231,Reza Madadi,14,6,0,Orthodox,73.0,155.0,71.0,2.51,0.46,3.31,0.66,3.17,0.33,0.89,0.5
1232,Don Madge,9,3,1,Southpaw,72.0,155.0,72.0,2.08,0.52,0.74,0.67,2.22,0.25,0.8,0.7
1233,Victor Madrigal,15,5,0,Orthodox,71.0,135.0,67.0,2.31,0.38,9.56,0.5,0.0,0.0,0.0,0.0
1234,Jon Madsen,8,2,0,Orthodox,72.0,240.0,72.0,2.46,0.41,1.18,0.81,1.32,0.71,0.7,0.0
1235,Mark Madsen,12,2,0,Orthodox,72.0,155.0,68.0,3.56,0.49,3.97,0.52,2.86,0.66,0.62,0.0
1236,Yoshiro Maeda,35,16,5,Southpaw,68.0,139.0,67.0,2.36,0.33,2.55,0.63,2.93,0.51,0.5,0.7
1237,Leonardo Mafra,13,4,0,Orthodox,70.0,155.0,70.0,4.55,0.48,4.38,0.43,2.12,0.83,0.69,0.4
1238,Vinny Magalhaes,14,9,0,Orthodox,75.0,205.0,75.0,2.14,0.24,3.97,0.68,1.55,0.44,0.66,0.8
1239,Caio Magalhaes,10,3,0,Orthodox,73.0,185.0,73.0,2.27,0.4,2.78,0.56,1.05,0.15,0.58,1.6
1240,Angela Magana,11,9,0,Orthodox,65.0,115.0,61.0,1.53,0.28,4.92,0.42,0.4,0.25,0.28,0.4
1241,Neil Magny,29,14,0,Orthodox,80.0,170.0,75.0,3.43,0.46,2.48,0.51,2.12,0.38,0.53,0.2
1242,Raimond Magomedaliev,10,2,0,Orthodox,75.0,170.0,73.0,4.07,0.41,4.75,0.41,0.0,0.0,0.0,0.0
1243,Rashid Magomedov,20,2,0,Orthodox,70.0,155.0,69.0,4.4,0.49,3.05,0.54,0.67,0.57,0.89,0.2
1244,Ruslan Magomedov,14,1,0,Orthodox,78.0,242.0,75.0,4.02,0.47,1.47,0.66,0.33,1.0,0.88,0.0
1245,Abus Magomedov,27,6,1,Orthodox,78.0,185.0,74.0,2.65,0.44,3.35,0.55,3.12,0.64,1.0,0.3
1246,Shara Magomedov,15,0,0,Orthodox,73.0,185.0,74.0,6.82,0.65,4.49,0.42,0.0,0.0,0.71,0.0
1247,Zabit Magomedsharipov,18,1,0,Orthodox,73.0,145.0,73.0,4.89,0.48,3.0,0.64,5.22,0.56,0.77,0.8
1248,John Maguire,24,9,0,Southpaw,69.0,155.0,69.0,1.41,0.41,2.44,0.65,2.8,0.46,0.77,1.1
1249, Maheshate,10,4,0,Orthodox,71.0,155.0,72.0,3.86,0.29,5.64,0.53,0.0,0.0,0.45,0.0
1250,Demian Maia,28,11,0,Southpaw,72.0,170.0,73.0,1.8,0.43,2.07,0.63,2.49,0.24,0.61,1.0
1251,Jennifer Maia,21,10,1,Orthodox,64.0,125.0,64.0,4.35,0.38,4.52,0.55,0.42,0.27,0.58,0.1
1252,Nayara Maia,7,1,1,Orthodox,66.0,125.0,65.0,0.6,0.36,3.33,0.43,1.0,0.33,0.0,1.0
1253,Levan Makashvili,15,2,1,Orthodox,68.0,145.0,68.0,2.87,0.54,2.07,0.61,3.67,0.42,0.85,0.0
1254,John Makdessi,18,9,0,Orthodox,68.0,155.0,68.0,5.52,0.49,4.15,0.68,0.0,0.0,0.86,0.0
1255,Islam Makhachev,26,1,0,Southpaw,70.0,155.0,70.0,2.65,0.59,1.54,0.61,3.19,0.53,0.9,1.1
1256,Zach Makovsky,20,8,0,Southpaw,64.0,125.0,64.0,1.94,0.43,2.24,0.62,3.71,0.3,0.56,0.3
1257,Azat Maksum,17,1,0,Southpaw,70.0,125.0,67.0,2.8,0.23,5.23,0.55,2.0,0.22,0.66,0.5
1258,Fabio Maldonado,23,11,0,Orthodox,75.0,205.0,73.0,5.29,0.58,4.31,0.53,0.44,0.57,0.61,0.6
1259,Bea Malecki,4,1,0,Orthodox,74.0,135.0,69.0,6.84,0.46,6.96,0.62,0.0,0.0,0.78,1.1
1260,Jacob Malkoun,8,3,0,Orthodox,73.0,185.0,69.0,3.86,0.56,2.48,0.52,6.62,0.42,0.2,0.4
1261,Mike Malott,11,2,1,Orthodox,73.0,170.0,73.0,3.85,0.46,3.06,0.53,2.27,0.56,0.16,0.8
1262,Nate Maness,16,3,0,Orthodox,72.0,125.0,70.0,3.14,0.5,3.88,0.42,0.68,0.75,0.8,0.7
1263,Marnic Mann,6,3,0,Southpaw,64.0,115.0,60.0,1.47,0.41,5.08,0.31,1.9,0.33,0.25,0.4
1264,Dylan Mantello,8,4,0,Orthodox,73.0,155.0,73.0,4.69,0.62,4.76,0.55,0.0,0.0,0.76,0.0
1265,Jimi Manuwa,17,6,0,Orthodox,79.0,205.0,73.0,3.43,0.54,3.97,0.49,0.53,0.18,0.7,0.4
1266,Cristiano Marcello,13,6,0,Orthodox,72.0,155.0,69.0,2.56,0.33,3.61,0.58,0.44,0.11,0.2,0.9
1267,Daniel Marcos,17,0,0,Orthodox,69.0,135.0,67.0,5.94,0.52,4.0,0.63,0.25,0.5,0.87,0.0
1268,Marcos Mariano,6,6,0,Switch,76.0,155.0,73.0,0.25,0.27,2.11,0.43,0.0,0.0,0.28,0.0
1269,Chepe Mariscal,17,6,0,Orthodox,69.0,145.0,67.0,4.75,0.57,3.24,0.5,3.09,0.39,0.72,0.3
1270,Ronny Markes,17,5,0,Orthodox,75.0,185.0,73.0,2.17,0.53,2.43,0.45,3.13,0.4,1.0,0.5
1271,Rory Markham,17,6,0,Orthodox,71.0,170.0,72.0,1.98,0.21,10.27,0.45,0.0,0.0,0.0,0.0
1272,Randa Markos,11,12,1,Orthodox,63.0,115.0,64.0,2.97,0.43,3.1,0.58,1.12,0.28,0.52,0.2
1273,Christina Marks,8,9,0,Orthodox,69.0,125.0,67.0,5.0,0.58,3.0,0.64,7.5,1.0,0.0,0.0
1274,Brendon Marotte,8,3,0,Orthodox,70.0,145.0,69.0,0.41,0.5,5.7,0.28,0.0,0.0,0.0,0.0
1275,Nate Marquardt,35,19,2,Orthodox,74.0,185.0,72.0,2.71,0.49,2.32,0.55,1.87,0.51,0.7,0.8
1276,Danilo Marques,11,4,0,Orthodox,77.0,205.0,78.0,1.44,0.79,2.52,0.52,3.93,0.28,0.0,0.8
1277,Julian Marquez,9,5,0,Orthodox,72.0,185.0,74.0,4.85,0.45,5.06,0.5,0.0,0.0,0.53,2.6
1278,Carmelo Marrero,16,6,0,Orthodox,73.0,205.0,72.0,0.84,0.34,2.04,0.54,3.21,0.36,0.36,0.9
1279,Eliot Marshall,10,4,0,Orthodox,77.0,205.0,74.0,1.93,0.27,2.39,0.67,0.47,0.33,0.79,0.9
1280,Francis Marshall,8,2,0,Orthodox,72.0,145.0,69.0,3.69,0.34,4.16,0.53,2.68,0.41,0.5,0.5
1281,Jack Marshman,23,10,0,Orthodox,73.0,185.0,72.0,2.74,0.25,4.19,0.56,0.0,0.0,0.2,0.0
1282,Terry Martin,23,11,0,Orthodox,71.0,185.0,68.0,2.82,0.43,3.13,0.54,3.1,0.42,0.92,0.0
1283,Anthony Rocco Martin,17,6,0,Orthodox,73.0,170.0,72.0,2.68,0.37,2.59,0.58,0.71,0.27,0.68,1.0
1284,Mallory Martin,7,5,0,Orthodox,63.0,115.0,64.0,4.42,0.48,6.64,0.55,2.28,0.43,0.25,0.3
1285,Danny Martinez,21,8,0,Orthodox,67.0,125.0,66.0,2.73,0.28,3.77,0.63,3.0,0.45,0.36,0.0
1286,Henry Martinez,9,4,0,Southpaw,69.0,155.0,67.0,2.79,0.25,4.01,0.6,0.0,0.0,0.8,0.0
1287,Jonathan Martinez,19,6,0,Southpaw,70.0,135.0,68.0,4.44,0.49,4.09,0.56,0.38,0.35,0.68,0.1
1288,Mana Martinez,10,4,0,Orthodox,70.0,135.0,70.0,4.33,0.48,4.94,0.5,0.72,0.42,0.25,0.5
1289,Victor Martinez,13,6,0,Orthodox,70.0,155.0,68.0,7.94,0.51,7.66,0.53,0.7,0.33,0.8,0.0
1290,Roque Martinez,15,8,2,Orthodox,72.0,250.0,70.0,3.28,0.53,4.9,0.56,0.38,0.5,0.53,0.4
1291,Melissa Martinez,8,1,0,Southpaw,66.0,115.0,62.0,3.9,0.52,4.33,0.55,0.5,0.5,0.25,0.0
1292,Julieta Martinez,8,0,0,Orthodox,62.0,115.0,61.0,2.53,0.44,3.6,0.41,5.0,0.45,1.0,0.0
1293,David Martinez,11,1,0,Orthodox,66.0,135.0,66.0,5.27,0.49,3.07,0.66,0.0,0.0,1.0,0.0
1294,Adriano Martins,28,9,0,Southpaw,72.0,155.0,70.0,1.8,0.38,2.14,0.65,0.83,0.8,0.81,0.4
1295,Lucas Martins,19,3,0,Southpaw,72.0,145.0,72.0,2.87,0.35,4.14,0.6,0.0,0.0,0.76,0.5
1296,Bristol Marunde,16,10,0,Orthodox,75.0,170.0,73.0,1.42,0.21,4.4,0.47,1.6,0.33,0.14,0.0
1297,Kazuma Maruyama,11,7,0,Orthodox,72.0,155.0,71.0,3.83,0.41,2.23,0.53,4.79,0.33,1.0,0.0
1298,Islem Masraf,3,1,0,Southpaw,74.0,205.0,72.0,0.68,0.2,3.88,0.15,0.0,0.0,1.0,0.0
1299,Mike Massenzio,13,9,0,Southpaw,73.0,185.0,74.0,2.08,0.45,3.59,0.54,2.74,0.24,0.5,1.4
1300,Jameel Massouh,26,9,0,Orthodox,72.0,145.0,70.0,1.91,0.54,2.62,0.55,0.67,0.15,0.5,0.7
1301,Tiffany Masters,2,1,0,Orthodox,65.0,115.0,63.0,3.53,0.62,2.58,0.5,3.06,0.6,0.0,0.0
1302,Jorge Masvidal,35,17,0,Orthodox,74.0,170.0,71.0,4.05,0.47,3.05,0.64,1.38,0.59,0.72,0.3
1303,Al Matavao,8,3,0,Orthodox,67.0,205.0,68.0,7.84,0.46,6.7,0.58,0.0,0.0,0.0,0.0
1304,Toki Matsui,6,1,0,Orthodox,65.0,125.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1305,Jean Matsumoto,16,0,0,Orthodox,68.0,135.0,66.0,5.2,0.4,5.05,0.46,1.13,0.27,0.57,0.4
1306,Koyomi Matsushima,13,6,0,Orthodox,66.0,145.0,67.0,2.7,0.47,2.83,0.59,9.0,0.52,0.33,0.0
1307,Jake Matthews,20,7,0,Orthodox,73.0,170.0,71.0,3.38,0.44,2.54,0.61,1.56,0.41,0.64,0.6
1308,Connor Matthews,7,2,0,Switch,71.0,145.0,68.0,5.3,0.44,6.19,0.56,2.97,0.53,0.5,0.7
1309,Vladimir Matyushenko,27,8,0,Orthodox,74.0,205.0,72.0,1.9,0.44,1.62,0.59,3.25,0.46,0.7,0.1
1310,Miranda Maverick,17,5,0,Southpaw,65.0,125.0,63.0,3.59,0.45,2.46,0.59,2.43,0.45,0.41,0.3
1311,Nick Maximov,8,2,0,Southpaw,76.0,185.0,72.0,1.93,0.45,2.64,0.46,4.16,0.45,0.35,0.2
1312,Don'Tale Mayes,11,7,0,Orthodox,81.0,260.0,78.0,3.51,0.43,3.79,0.46,0.65,0.38,0.58,0.0
1313,Gray Maynard,13,7,1,Orthodox,70.0,155.0,69.0,1.92,0.32,2.64,0.66,2.91,0.47,0.81,0.7
1314,Gina Mazany,7,6,0,Southpaw,68.0,125.0,66.0,3.73,0.5,3.52,0.5,4.34,0.52,0.33,0.2
1315,Sabina Mazo,9,4,0,Orthodox,70.0,125.0,67.0,6.1,0.43,4.35,0.57,0.65,0.8,0.59,0.2
1316,Francesco Mazzeo,4,1,0,Orthodox,75.0,205.0,75.0,1.83,0.44,0.75,0.65,3.23,0.5,0.0,0.0
1317,Ian McCall,13,5,1,Orthodox,64.0,125.0,65.0,3.59,0.39,3.25,0.67,2.08,0.3,0.88,0.0
1318,Molly McCann,14,7,0,Orthodox,62.0,115.0,64.0,5.39,0.49,4.72,0.62,1.84,0.36,0.39,0.5
1319,Charles McCarthy,10,5,0,Orthodox,71.0,185.0,70.0,0.18,0.12,4.03,0.56,2.67,0.6,0.0,2.7
1320,Sean McCorkle,17,7,0,Orthodox,81.0,265.0,79.0,0.85,0.44,2.48,0.52,2.12,0.4,0.33,4.2
1321,Danni McCormack,9,2,0,Southpaw,62.0,125.0,64.0,6.93,0.51,4.53,0.6,6.0,0.42,0.5,2.0
1322,Kris McCray,8,5,0,Orthodox,76.0,170.0,72.0,2.69,0.45,2.57,0.54,2.88,0.55,0.38,0.0
1323,Tamdan McCrory,14,5,0,Switch,76.0,185.0,76.0,2.07,0.49,1.6,0.46,2.28,0.5,0.33,2.5
1324,Rob McCullough,19,8,0,Orthodox,69.0,155.0,69.0,2.47,0.36,2.84,0.59,0.46,1.0,0.68,0.0
1325,Justin McCully,11,5,2,Orthodox,73.0,225.0,73.0,1.58,0.37,2.02,0.46,1.28,0.44,0.43,0.0
1326,Robert McDaniel,28,10,0,Southpaw,75.0,185.0,75.0,1.64,0.44,1.98,0.56,0.93,0.5,0.5,1.4
1327,Michael McDonald,17,4,0,Orthodox,70.0,135.0,69.0,2.69,0.42,2.76,0.57,1.09,0.66,0.52,1.4
1328,Drew McFedries,12,7,0,Southpaw,72.0,185.0,72.0,5.13,0.51,4.56,0.52,1.42,1.0,0.56,0.7
1329,Court McGee,23,13,0,Orthodox,75.0,170.0,71.0,4.6,0.37,3.59,0.61,1.87,0.25,0.69,0.5
1330,Marcus McGhee,10,1,0,Orthodox,69.0,135.0,68.0,6.06,0.48,2.83,0.64,0.46,0.33,1.0,0.5
1331,Conor McGregor,22,6,0,Southpaw,74.0,155.0,69.0,5.32,0.49,4.66,0.54,0.67,0.55,0.66,0.1
1332,Rhys McKee,13,6,1,Orthodox,78.0,170.0,74.0,4.8,0.45,7.85,0.42,0.0,0.0,0.41,0.0
1333,Cory McKenna,8,4,0,Orthodox,58.0,115.0,63.0,2.94,0.38,3.68,0.46,2.0,0.47,0.75,0.4
1334,Tim McKenzie,14,9,0,Orthodox,74.0,185.0,72.0,1.37,0.54,2.96,0.44,0.0,0.0,0.28,2.1
1335,Cody McKenzie,16,10,0,Switch,72.0,155.0,72.0,1.74,0.34,2.5,0.67,2.5,0.25,0.14,2.5
1336,Terrance McKinney,15,7,0,Switch,73.0,155.0,70.0,4.53,0.5,2.63,0.45,3.45,0.36,0.85,1.0
1337,Garreth McLellan,13,6,0,Southpaw,72.0,185.0,73.0,3.56,0.54,2.94,0.45,1.15,0.22,0.34,0.9
1338,Sara McMann,13,6,0,Orthodox,66.0,135.0,66.0,2.26,0.46,1.92,0.47,4.38,0.65,0.5,0.5
1339,James McSweeney,15,15,0,Switch,77.0,230.0,76.0,3.94,0.55,4.33,0.42,0.52,0.33,1.0,1.1
1340,Tim Means,33,17,1,Orthodox,75.0,170.0,74.0,5.04,0.49,3.65,0.6,1.14,0.4,0.64,0.2
1341,Yancy Medeiros,15,8,0,Orthodox,75.0,155.0,70.0,4.36,0.37,5.67,0.47,0.33,0.5,0.73,0.7
1342,MarQuel Mederos,9,1,0,Orthodox,69.0,155.0,70.0,4.39,0.45,3.29,0.63,0.0,0.0,0.9,0.0
1343,Uros Medic,10,2,0,Southpaw,71.0,170.0,73.0,5.51,0.6,3.18,0.58,0.38,0.5,0.55,0.0
1344,Jose Daniel Medina,11,4,0,Orthodox,74.0,185.0,72.0,1.87,0.33,4.93,0.48,0.5,0.33,0.31,0.0
